lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
507,52.238167,21.0505609,16:32:51,1,7819,16:18:00,14.85,2131,01,rondo Waszyngtona
165,52.1780486,21.0061001,16:32:52,1,8335,16:17:00,15.866666666666667,3249,02,Instytut Fizyki
165,52.172636,20.999378,16:32:47,4,8502,16:33:00,-0.21666666666666667,3265,02,Obrzeżna
710,52.0742333,21.011325,16:32:41,4,8508,16:20:00,12.683333333333334,3464,71,Targowisko
742,52.08698,21.125315,16:32:46,1,8523,16:30:00,2.7666666666666666,3355,02,os.Grapa
514,52.2486433,21.2437733,16:32:50,1,8565,16:31:00,1.8333333333333333,2285,03,Wola Grzybowska
514,52.2413967,21.13461,16:32:44,4,8569,16:22:00,10.733333333333333,2059,01,Okularowa
151,52.2331233,21.07574,16:32:38,3,8574,16:21:00,11.633333333333333,2099,02,Kanał Gocławski
120,52.268688,21.060259,16:32:36,5,8584,16:23:00,9.6,1055,01,Gorzykowska
162,52.255046,21.034716,16:32:46,1,8595,16:17:00,15.766666666666667,1003,02,Dw.Wileński
174,52.1833397,21.01409,16:32:43,3,8825,16:31:00,1.7166666666666666,3112,02,Modzelewskiego
704,52.2182665,21.3032346,16:32:48,2,8837,16:30:00,2.8,2308,02,Terespolska
512,52.266876,21.058941,16:32:34,5,8864,16:25:00,7.566666666666666,1054,01,Piotra Skargi
104,52.314789,21.037991,16:32:47,2,9074,16:35:00,-2.216666666666667,1512,02,Porzeczkowa
164,52.1864208,21.0633716,16:32:49,2,9220,16:20:00,12.816666666666666,3064,04,Goraszewska
133,52.3181473,20.9530386,16:32:51,2,9252,16:27:00,5.85,1277,01,Tarchomin
234,52.325211,21.049957,16:32:50,3,9311,16:19:00,13.833333333333334,1561,01,Berensona-Kanał
103,52.256123,20.96929,16:32:44,5,9411,16:29:00,3.7333333333333334,6090,01,PKP Powązki
152,52.31694,20.952309,16:32:37,2,9416,16:30:00,2.6166666666666667,1277,07,Tarchomin
152,52.32663,21.042002,16:32:43,4,9427,16:16:00,16.716666666666665,1560,02,Warzelnicza-Szkoła
159,52.202572833,21.069152,16:32:52,1,9511,16:13:00,19.866666666666667,3323,03,Małe Siekierki
194,52.2089015,20.893084167,16:32:51,1,9513,16:16:00,16.85,4224,05,Nowe Włochy
220,52.203161167,20.894673667,16:32:50,4,9533,16:30:00,2.8333333333333335,4216,06,Ursus-Ratusz
212,52.291565,21.041513,16:32:49,4,9686,16:24:00,8.816666666666666,1147,03,Szpital Bródnowski
226,52.340218,21.048731,16:32:52,2,9687,16:17:00,15.866666666666667,1225,01,Zdziarska-Kanał
186,52.302589,20.990486,16:32:51,4,9933,16:30:00,2.85,1016,01,Konwaliowa
219,52.1980216,21.1693036,16:33:50,2,1007,16:29:00,4.833333333333333,2371,01,Gruszy
107,52.191048,21.073713,16:33:49,1,1066,16:15:00,18.816666666666666,3091,02,Sypniewska
263,52.150738,21.048624,16:33:47,2,1202,16:17:00,16.783333333333335,3138,05,Polinezyjska
263,52.15937,21.085722,16:33:47,3,1213,16:24:00,9.783333333333333,3045,04,Vogla
218,52.188961,20.997863,16:33:49,1,1216,16:17:00,16.816666666666666,3258,01,Zajezdnia Woronicza
181,52.2824041,20.9723105,16:33:49,4,1400,16:15:00,18.816666666666666,6136,02,Sobocka
119,52.205673,21.17251,16:33:50,2,1413,16:24:00,9.833333333333334,2438,02,Wawer-Ratusz
166,52.201129,21.036026,16:33:34,343,1554,16:35:00,-1.4333333333333333,3027,01,Dolna
126,52.317525,20.953068,16:33:39,2,1555,16:30:00,3.65,1277,09,Tarchomin
169,52.3004333,21.0416643,16:33:46,5,1816,16:36:00,-2.2333333333333334,1152,06,Bródno-Podgrodzie
123,52.23314,21.0606155,16:33:44,6,1818,16:35:00,-1.2666666666666666,2140,04,Stacja Krwiodawstwa
106,52.2463839,21.0193774,16:33:49,3,1907,16:34:00,-0.18333333333333332,7059,01,Mariensztat
174,52.173351,21.012091,16:33:47,371,2022,16:20:00,13.783333333333333,3248,03,Bełdan
105,52.2295307,20.9786837,16:33:49,4,2201,16:23:00,10.816666666666666,5041,02,Karolkowa
191,52.215092,20.979906,16:33:46,6,2209,16:27:00,6.766666666666667,4004,02,Och-Teatr
177,52.227932,20.900314,16:33:47,6,2249,16:23:00,10.783333333333333,5109,02,Rozłogi
511,52.2912103,20.9285446,16:33:50,2,3401,16:22:00,11.833333333333334,6059,18,Metro Młociny
190,52.3051698,21.0848505,16:33:47,8,3402,16:15:00,18.783333333333335,1234,01,CH Marki
509,52.2260593,21.0833333,16:33:48,8,3432,16:19:00,14.8,2145,02,Abrahama
511,52.330738,20.9660128,16:33:48,3,3433,16:15:00,18.8,1022,01,Klasyków
162,52.1909298,21.073985,16:33:48,3,3437,16:27:00,6.8,3091,02,Sypniewska
527,52.3236551,21.0569405,16:33:47,516,3448,16:30:00,3.783333333333333,1326,03,Skarbka z Gór
509,52.2537585,21.0358703,16:33:46,4,3449,16:36:00,-2.2333333333333334,1003,01,Dw.Wileński
738,52.4156846,21.1791658,16:33:45,2,3454,16:34:00,-0.25,1454,02,ks.Czartoryskiej
207,52.190296,20.899855,16:33:48,3,4201,16:34:00,-0.2,4258,04,Składkowskiego
178,52.186573,20.896244,16:33:49,1,4211,16:26:00,7.816666666666666,4284,01,Skorosze
178,52.221031,20.959782,16:33:50,5,4234,16:18:00,15.833333333333334,5097,02,Armatnia
154,52.2034006,20.970062,16:33:46,4,4237,16:23:00,10.766666666666667,4007,02,Korotyńskiego
119,52.2139049,21.1574314,16:33:50,1,4321,16:36:00,-2.1666666666666665,2037,03,PKP Anin
119,52.212377,21.1045386,16:33:50,5,4328,16:17:00,16.833333333333332,2206,02,Kadetów
178,52.2016472,20.9348469,16:33:50,2,4339,16:17:00,16.833333333333332,4048,04,Popularna
123,52.235802,21.098091,16:33:48,3,4420,16:31:00,2.8,2102,04,Zamieniecka
126,52.292057,21.041573,16:33:48,4,4421,16:29:00,4.8,1147,03,Szpital Bródnowski
169,52.249996,21.043503,16:33:50,3,4426,16:23:00,10.833333333333334,1001,08,Kijowska
122,52.249519,20.919094,16:33:49,6,4428,16:16:00,17.816666666666666,5106,02,Orlich Gniazd
120,52.325207,21.063326,16:33:49,1,5426,16:23:00,10.816666666666666,1183,03,Kąty Grodziskie
503,52.14822,21.04319,16:33:47,6,5888,16:16:00,17.783333333333335,3139,03,Miklaszewskiego
111,52.244434,20.979397,16:33:48,2,5925,16:21:00,12.8,5157,02,Esperanto
111,52.232887,21.025713,16:33:50,4,5945,16:33:00,0.8333333333333334,7068,02,PKP Powiśle
111,52.2444,20.9791,16:33:50,3,5956,16:36:00,-2.1666666666666665,5157,02,Esperanto
503,52.143272,21.044128,16:33:46,7,5970,16:29:00,4.766666666666667,3140,02,Stryjeńskich
111,52.249241,20.99835,16:33:47,1,5972,16:28:00,5.783333333333333,7017,03,Muranów
127,52.2429879,21.0206592,16:33:49,1,5978,16:25:00,8.816666666666666,7100,02,Browarna
105,52.234921,20.896749,16:33:50,1,7206,16:23:00,10.833333333333334,5049,01,Szobera
172,52.195862,21.0131171,16:33:49,7,7244,16:29:00,4.816666666666666,3231,04,Odyńca
523,52.258469,20.898306,16:33:50,9,7303,16:22:00,11.833333333333334,5055,07,Stare Bemowo
182,52.2362249,21.1128847,16:33:49,4,7309,16:18:00,15.816666666666666,2105,01,Witolin
250,52.299709,20.881979,16:33:49,3,763,16:30:00,3.816666666666667,6035,03,Estrady
525,52.2082887,21.1965947,16:33:50,5,7707,16:23:00,10.833333333333334,2032,01,Międzylesie
191,52.1948849,20.8997132,16:33:50,2,7711,16:24:00,9.833333333333334,4095,01,Szancera
177,52.2004376,20.8749768,16:33:50,4,7726,16:21:00,12.833333333333334,4307,02,Warszawska
191,52.214315,20.9676717,16:33:50,5,7728,16:16:00,17.833333333333332,4154,02,Szczęśliwicka
143,52.2223727,21.0370362,16:33:50,8,7754,16:19:00,14.833333333333334,7071,01,Rozbrat
