lines,latitude,longitude,time,brigade,vehicle_number,scheduled_time,time_difference,stop_id,stop_pole,stop_name
136,52.2433861,20.9663799,13:31:12,11,2258,13:30:00,1.2,5067,05,Pl.Pole Elekcyjne
L51,52.0991328,21.2686523,13:31:11,1,25188,13:30:00,1.1833333333333333,2237,02,Park Miejski
112,52.3044481,21.082309,13:31:12,7,3402,13:34:00,-2.8,1234,04,CH Marki
509,52.2392463,21.0512611,13:31:13,8,3403,13:26:00,5.216666666666667,2131,03,rondo Waszyngtona
Z26,52.22483,20.93019,13:31:13,3,3414,13:32:00,-0.7833333333333333,5011,07,Cm.Wolski
512,52.2838328,21.0567163,13:31:11,2,3418,13:28:00,3.183333333333333,1477,02,Kanał Bródnowski
180,52.271167,20.934897,13:31:09,14,3431,13:31:00,0.15,6047,03,Conrada
112,52.2750275,20.9376318,13:31:14,8,3451,13:31:00,0.23333333333333334,6046,05,al.Reymonta
511,52.3488326,20.9427271,13:31:13,3,3452,13:31:00,0.21666666666666667,1317,02,Dąbrówka Wiślana
112,52.2550485,20.9172736,13:31:14,3,3455,13:25:00,6.233333333333333,5160,02,Pirenejska
245,52.280536,21.131161,13:31:12,1,3459,13:18:00,13.2,1474,04,Maczka
509,52.2264553,21.0995198,13:31:09,5,3463,13:31:00,0.15,2128,02,os.Wilga
705,52.4705006,21.090865,13:31:12,63,3465,13:32:00,-0.8,1439,02,Siwek
723,52.3834966,20.9237251,13:31:13,476,3466,13:30:00,1.2166666666666666,1189,01,Szarych Szeregów
L-2,52.0688408,21.024536,13:31:15,683,35132,13:30:00,1.25,3168,01,Kolejka Piaseczyńska
178,52.232117,20.99375,13:31:10,4,4206,13:27:00,4.166666666666667,5039,01,Norblin
178,52.1929977,20.9088092,13:31:13,5,4215,13:31:00,0.21666666666666667,4094,01,Dzieci Warszawy
207,52.200345,20.892912,13:31:14,1,4217,13:33:00,-1.7666666666666666,4216,03,Ursus-Ratusz
122,52.253029,20.924049,13:31:14,679,4220,13:24:00,7.233333333333333,5107,01,Widawska
154,52.185493,20.955326,13:31:14,1,4221,13:31:00,0.23333333333333334,4012,05,Krakowiaków
207,52.195625,20.883543,13:31:08,3,4223,13:31:00,0.13333333333333333,4217,23,PKP Ursus
154,52.2170551,20.9637741,13:31:14,3,4224,13:34:00,-2.7666666666666666,4045,71,rondo Zesłańców Syberyjskich
249,52.2372427,20.8966804,13:31:12,678,4236,13:30:00,1.2,5049,02,Szobera
178,52.211853,20.95182,13:31:15,6,4237,13:31:00,0.25,4051,02,Berestecka
129,52.2386735,20.9427361,13:31:13,3,4239,13:29:00,2.216666666666667,5030,03,Metro Księcia Janusza
