lines,latitude,longitude,time,brigade,vehicle_number
115,52.2452017,21.178005,16:32:49,4,1528
153,52.269933,21.150908,16:32:35,2,1529
147,52.221584,21.231851,16:32:47,3,1530
106,52.2328333,20.9790233,16:32:41,1,1534
118,52.239874,21.029576,16:32:49,2,1537
212,52.26985,21.040915,16:32:45,06,1538
126,52.3192117,20.9972067,16:32:41,1,1539
118,52.23417,21.0348283,16:32:36,05,1540
181,52.309311,20.911325,16:32:50,2,1542
126,52.264491,21.046034,16:32:41,055,1545
123,52.250685,21.0703317,16:32:38,4,1546
123,52.22447,21.1024233,16:32:41,08,1548
122,52.2275517,20.898005,16:32:50,8,1549
123,52.2527283,21.0827867,16:32:44,5,1551
736,52.302075,20.9909367,16:32:44,2,1552
122,52.284265,20.9798433,16:32:42,011,1553
166,52.202626,21.0346,16:32:34,343,1554
126,52.316536,20.959616,16:32:50,2,1555
197,52.2896443,20.9757946,16:32:35,3,1800
123,52.2416061,21.1015781,16:32:52,07,1801
338,52.2545911,21.0457519,16:32:52,03,1802
166,52.155463,21.048771,16:32:51,8,1803
170,52.260501,21.0242273,16:32:49,05,1804
156,52.2527115,21.0511273,16:32:52,1,1805
117,52.2221213,21.1024741,16:32:49,06,1806
197,52.2334085,20.941197,16:32:51,6,1808
173,52.2393773,21.1153471,16:32:47,8,1809
156,52.2825085,20.9850663,16:32:48,3,1810
156,52.2695901,21.050062,16:32:51,2,1811
221,52.2597425,20.9817498,16:32:49,1,1812
170,52.2707041,21.0939876,16:32:48,06,1813
170,52.2588185,21.0521523,16:32:49,4,1814
197,52.229095,20.942381,16:32:47,7,1815
169,52.3004371,21.0417283,16:32:47,5,1816
123,52.2338888,21.0602583,16:32:44,6,1818
166,52.1933766,21.043366,16:32:52,09,1819
115,52.2057783,21.1724508,16:32:52,1,1830
122,52.2372991,20.9140021,16:32:46,013,1833
173,52.21439,21.2176,16:32:37,4,1835
117,52.2228415,21.1009596,16:32:48,5,1838
338,52.2603853,21.0799223,16:32:47,04,1839
115,52.2771538,21.1702686,16:32:52,5,1840
183,52.2447018,21.0869886,16:32:50,1,1842
117,52.226652,21.0592665,16:32:51,1,1843
173,52.2504176,21.2247408,16:32:47,6,1844
730,52.2237561,21.2226658,16:32:44,52,1845
338,52.257955,21.051404,16:32:44,01,1846
115,52.2330193,21.117279,16:32:46,2,1848
115,52.1698958,21.2421181,16:32:52,2,1849
115,52.2503051,21.1743795,16:32:50,6,1851
115,52.2343951,21.1161466,16:32:48,6,1855
303,52.2918345,20.9376163,16:32:51,3,1856
173,52.250525,21.0539801,16:32:48,9,1857
173,52.246182,21.2646656,16:32:42,3,1858
117,52.2290046,21.0070455,16:32:50,3,1862
730,52.1949716,21.2760106,16:32:51,01,1863
115,52.225658,21.161551,16:32:36,3,1869
222,52.2290777,21.0228527,16:32:52,6,1901
222,52.1858581,20.996885,16:32:49,5,1904
106,52.232633,20.977671,16:32:44,7,1906
106,52.2463687,21.0193654,16:32:52,3,1907
319,52.185828,20.995938,16:32:48,01,1908
106,52.2366274,20.9994939,16:32:52,5,1909
222,52.2206329,21.024834,16:32:52,4,1910
222,52.18885,21.00123,16:32:52,2,1911
119,52.20652,21.039127,16:32:50,07,1914
119,52.214077,21.132898,16:32:51,06,1916
222,52.193958,21.019121,16:32:47,3,1917
319,52.172184,21.170034,16:32:51,03,1918
222,52.217907,21.019142,16:32:50,1,1919
331,52.172375,20.979856,16:32:52,03,1991
331,52.1863614,20.9953269,16:32:51,04,1992
331,52.158863,21.017251,16:32:51,04,1993
331,52.179939,21.023882,16:32:50,05,1994
331,52.172211,20.9772114,16:32:52,02,1996
166,52.205578,21.031908,16:32:49,010,1997
165,52.156231,20.995874,16:32:51,2,2000
709,52.06699,21.017656,16:32:52,9,2001
189,52.173435,21.030548,16:32:51,8,2002
402,52.182022,21.045519,16:32:49,1,2004
402,52.2402669,21.1560212,16:32:52,8,2005
504,52.2272707,21.0021344,16:32:52,2,2008
162,52.223057,21.035357,16:32:51,015,2010
522,52.2293,21.002504,16:32:34,3,2014
522,52.212013,21.020088,16:32:52,011,2016
401,52.173363,21.025129,16:32:47,029,2017
L50,52.1717753,21.29217,16:32:50,2,20174
522,52.200058,21.036879,16:32:51,012,2018
189,52.228062,20.897034,16:32:51,1,2019
522,52.2290367,21.0051954,16:32:52,2,2020
174,52.171089,21.010769,16:32:51,371,2022
189,52.198627,20.918415,16:32:52,5,2023
525,52.1862817,20.9959836,16:32:52,1,2024
162,52.2023797,21.0489176,16:32:52,014,2025
165,52.177616,21.002647,16:32:48,3,2026
